period,cpi,nominal_annual,real_annual,nominal_monthly,real_monthly,nominal_hourly,real_hourly,cumulative_inflation_pct,real_gain_loss_annual
2023-01,104.99,94900.0,95904.83061878911,7300.0,7377.294662983777,43.45238095238095,43.9124682320463,-1.0477372331568868,1004.8306187891139
2023-02,105.54,94900.0,95405.0423220264,7300.0,7338.849409386647,43.45238095238095,43.683627436825276,-0.5293664881167448,505.0423220264056
2023-03,105.53,94900.0,95414.08288322437,7300.0,7339.544837171105,43.45238095238095,43.687766887923246,-0.5387914107538472,514.0828832243715
2023-04,105.8,94900.0,95170.58758664147,7300.0,7320.814429741652,43.45238095238095,43.576276367509834,-0.28431849955232735,270.5875866414717
2023-05,106.03,94900.0,94964.14379578108,7300.0,7304.934138137006,43.45238095238095,43.48175082224409,-0.06754527889917261,64.14379578108492
2023-06,106.1,94900.0,94901.49073201384,7300.0,7300.114671693372,43.45238095238095,43.45306352198436,-0.0015708204395226133,1.4907320138445357
2023-07,106.58,94900.0,94474.08675799088,7300.0,7267.2374429223755,43.45238095238095,43.25736573168081,0.4508254661409472,-425.91324200911913
2023-08,106.75,94900.0,94323.6362217018,7300.0,7255.664324746293,43.45238095238095,43.18847812348984,0.6110491509715432,-576.3637782981968
2023-09,106.57,94900.0,94482.95173751214,7300.0,7267.91936442401,43.45238095238095,43.26142478823816,0.44140054350385594,-417.0482624878641
2023-10,106.72,94900.0,94350.15148675663,7300.0,7257.703960519741,43.45238095238095,43.200618812617506,0.5827743830602694,-549.8485132433707
2023-11,106.17,94900.0,94838.9202850774,7300.0,7295.30156039057,43.45238095238095,43.42441404994386,0.06440363802013849,-61.079714922598214
2023-12,106.44,94900.0,94598.34805211076,7300.0,7276.796004008519,43.45238095238095,43.31426192862214,0.3188765492216472,-301.6519478892442
2024-01,106.57,96850.0,96424.3822526665,7450.0,7417.260173282038,44.345238095238095,44.15035817429785,0.44140054350385594,1524.3822526665026
2024-02,106.8,96850.0,96216.72674781525,7450.0,7401.286672908865,44.345238095238095,44.055277814933724,0.6581737641569996,1316.7267478152498
2024-03,106.74,96850.0,96270.81147336208,7450.0,7405.447036412467,44.345238095238095,44.080041883407546,0.601624228334452,1370.811473362075
2024-04,107.3,96850.0,95768.37294190744,7450.0,7366.797918608265,44.345238095238095,43.84998761076348,1.1294198960116741,868.372941907437
2024-05,107.58,96850.0,95519.11523207536,7450.0,7347.624248621182,44.345238095238095,43.73585862274513,1.3933177298502963,619.1152320753608
2024-06,107.44,96850.0,95643.58168900473,7450.0,7357.198591461902,44.345238095238095,43.7928487587018,1.2613688129309741,743.5816890047281
2024-07,107.89,96850.0,95244.66045663794,7450.0,7326.512342818303,44.345238095238095,43.61019251677561,1.6854903316001923,344.6604566379392
2024-08,107.86,96850.0,95271.151647197,7450.0,7328.5501267074615,44.345238095238095,43.622322182782504,1.6572155636889185,371.1516471969953
2024-09,107.5,96850.0,95590.19922480622,7450.0,7353.092248062017,44.345238095238095,43.76840623846439,1.317918348753544,690.1992248062161
2024-10,107.48,96850.0,95607.98675722616,7450.0,7354.460519786628,44.345238095238095,43.77655071301564,1.2990685034793614,707.9867572261574
2024-11,106.92,96850.0,96108.7394001746,7450.0,7392.979953859584,44.345238095238095,44.005833058688005,0.7712728358021392,1208.7394001745997
2024-12,106.86,96850.0,96162.70275750203,7450.0,7397.13098134631,44.345238095238095,44.0305415556328,0.7147232999795694,1262.702757502033
2025-01,106.8,98800.0,98153.97627965045,7600.0,7550.305867665419,45.23809523809524,44.94229683134178,0.6581737641569996,3253.976279650451
2025-02,106.95,98800.0,98016.31291880942,7600.0,7539.716378369955,45.23809523809524,44.87926415696402,0.799547603713413,3116.312918809417
2025-03,106.86,98800.0,98098.86455798865,7600.0,7546.066504460666,45.23809523809524,44.91706252655158,0.7147232999795694,3198.8645579886506
2025-04,107.61,98800.0,97415.15348635506,7600.0,7493.473345104235,45.23809523809524,44.60400800657283,1.4215924977615702,2515.1534863550623
2025-05,107.4,98800.0,97605.63004345128,7600.0,7508.125387957791,45.23809523809524,44.6912225473678,1.223669122382609,2705.6300434512814
2025-06,107.66,98800.0,97369.91144962538,7600.0,7489.993188432722,45.23809523809524,44.58329278829001,1.4687171109470487,2469.911449625375
2025-07,108.02,98800.0,97045.40517188176,7600.0,7465.031167067828,45.23809523809524,44.43470932778469,1.808014325882401,2145.4051718817645
2025-08,107.91,98800.0,97144.33015166962,7600.0,7472.640780897663,45.23809523809524,44.48000464820038,1.704340176874375,2244.330151669623
2025-09,107.55,98800.0,97469.49945761662,7600.0,7497.653804432048,45.23809523809524,44.628891693047905,1.3650429619390003,2569.499457616621
2025-10,107.55,98800.0,97469.49945761662,7600.0,7497.653804432048,45.23809523809524,44.628891693047905,1.3650429619390003,2569.499457616621
2025-11,106.91,98800.0,98052.98537710849,7600.0,7542.537336700652,45.23809523809524,44.89605557559913,0.7618479131650258,3152.985377108489
2025-12,107.07,98800.0,97906.45994832044,7600.0,7531.266149870802,45.23809523809524,44.828965177802395,0.9126466753585305,3006.4599483204365
