year,nominal_monthly,nominal_annual,nominal_hourly,nominal_pct_vs_base,cpi_annual_avg,cumulative_inflation_pct,real_annual,real_monthly,real_hourly,real_pct_vs_base,annual_gain_loss_vs_base,monthly_gain_loss_vs_base,real_pct_vs_prev_year
2019,3083.0,37000.0,18.974358974358974,-40.32258064516129,107.8,-17.421002234280238,44805.58132343846,3733.3947897340754,22.977221191506903,-27.7329333492928,-17194.418676561538,-1433.6052102659246,
2020,3167.0,38000.0,19.487179487179485,-38.70967741935484,108.75,-16.69326524098308,45614.559386973175,3801.6134099616856,23.392081736909322,-26.428130021011007,-16385.440613026825,-1365.3865900383144,1.8055296675986376
2021,3500.0,42000.0,21.53846153846154,-32.25806451612904,111.55833333333332,-14.541972550271309,49146.93359229103,4095.5777993575857,25.203555688354374,-20.730752270498332,-12853.066407708968,-1071.4222006424143,7.743962131368631
2022,3750.0,45000.0,23.076923076923077,-27.419354838709676,121.65833333333335,-6.80497925311202,48285.84149599287,4023.820124666072,24.761969997945062,-22.119610490334086,-13714.15850400713,-1143.179875333928,-1.752076952433157
2023,5167.0,62000.0,31.794871794871796,0.0,130.54166666666666,0.0,62000.0,5167.0,31.794871794871796,0.0,0.0,0.0,28.40202858460121
