period,cpi,nominal_annual,real_annual,nominal_monthly,real_monthly,nominal_hourly,real_hourly,cumulative_inflation_pct,real_gain_loss_annual
2023-01,126.4,62000.0,64031.51371308017,5167.0,5336.303731540083,31.794871794871796,32.83667369901547,-3.1726779444621656,2031.5137130801668
2023-02,127.9,62000.0,63280.557727391184,5167.0,5273.72002866823,31.794871794871796,32.451568065328814,-2.023619533992971,1280.557727391184
2023-03,128.9,62000.0,62789.63020429273,5167.0,5232.806762348073,31.794871794871796,32.19981036117576,-1.2575805936801632,789.6302042927273
2023-04,130.4,62000.0,62067.35685071574,5167.0,5172.613433026584,31.794871794871796,31.829413769597814,-0.1085221832109684,67.35685071573971
2023-05,131.3,62000.0,61641.914191419135,5167.0,5137.157590759075,31.794871794871796,31.611238046881606,0.5809128630705596,-358.085808580865
2023-06,131.5,62000.0,61548.16223067173,5167.0,5129.344423320659,31.794871794871796,31.563160118293197,0.7341206511330967,-451.8377693282673
2023-07,130.9,62000.0,61830.277565571676,5167.0,5152.855551311433,31.794871794871796,31.707834649011115,0.27449728694544095,-169.72243442832405
2023-08,131.3,62000.0,61641.914191419135,5167.0,5137.157590759075,31.794871794871796,31.611238046881606,0.5809128630705596,-358.085808580865
2023-09,132.0,62000.0,61315.02525252525,5167.0,5109.915088383838,31.794871794871796,31.443602693602692,1.1171401212895171,-684.9747474747492
2023-10,132.0,62000.0,61315.02525252525,5167.0,5109.915088383838,31.794871794871796,31.443602693602692,1.1171401212895171,-684.9747474747492
2023-11,131.7,62000.0,61454.69501392053,5167.0,5121.554986079474,31.794871794871796,31.515228212266937,0.887328439195656,-545.3049860794708
2023-12,132.2,62000.0,61222.264246091785,5167.0,5102.184505799294,31.794871794871796,31.396032946713735,1.2703479093520542,-777.735753908215
2024-01,131.5,62000.0,61548.16223067173,5167.0,5129.344423320659,31.794871794871796,31.563160118293197,0.7341206511330967,-451.8377693282673
2024-02,132.3,62000.0,61175.98891408415,5167.0,5098.327979339883,31.794871794871796,31.37230200722264,1.346951803383356,-824.0110859158522
2024-03,133.0,62000.0,60854.01002506266,5167.0,5071.494674185464,31.794871794871796,31.20718462823726,1.8831790616023136,-1145.9899749373435
2024-04,133.5,62000.0,60626.09238451935,5167.0,5052.5003121098625,31.794871794871796,31.090303786933,2.266198531758712,-1373.9076154806535
2024-05,133.9,62000.0,60444.98381877022,5167.0,5037.4069579288025,31.794871794871796,30.997427599369342,2.5726141078838305,-1555.016181229781
2024-06,134.1,62000.0,60354.83470047228,5167.0,5029.894046731295,31.794871794871796,30.951197282293478,2.72582189594639,-1645.1652995277182
2024-07,133.8,62000.0,60490.159441953154,5167.0,5041.171836073741,31.794871794871796,31.020594585617,2.496010213852551,-1509.8405580468461
2024-08,134.3,62000.0,60264.95408289898,5167.0,5022.403512037726,31.794871794871796,30.90510465789691,2.879029684008949,-1735.0459171010225
2024-09,134.2,62000.0,60309.860904123205,5167.0,5026.145988574267,31.794871794871796,30.92813379698626,2.8024257899776472,-1690.1390958767952
2024-10,135.0,62000.0,59952.469135802465,5167.0,4996.361419753086,31.794871794871796,30.744855967078188,3.4152569422279067,-2047.5308641975353
2024-11,135.1,62000.0,59908.09277078707,5167.0,4992.663150752529,31.794871794871796,30.722098856813883,3.4918608362591863,-2091.9072292129276
2024-12,135.6,62000.0,59687.192723697146,5167.0,4974.253625860373,31.794871794871796,30.60881678138315,3.8748803064155846,-2312.807276302854
2025-01,135.4,62000.0,59775.35696701132,5167.0,4981.601120137862,31.794871794871796,30.65402921385196,3.7216725183530253,-2224.643032988679
2025-02,136.0,62000.0,59511.64215686274,5167.0,4959.623468137254,31.794871794871796,30.518790849673202,4.181295882540703,-2488.357843137259
2025-03,136.5,62000.0,59293.65079365079,5167.0,4941.456349206349,31.794871794871796,30.407000407000407,4.564315352697101,-2706.3492063492085
2025-04,138.2,62000.0,58564.2788229619,5167.0,4880.67143029426,31.794871794871796,30.032963498954818,5.8665815512288555,-3435.7211770381036
2025-05,138.4,62000.0,58479.648362235064,5167.0,4873.61843689788,31.794871794871796,29.989563262684648,6.019789339291437,-3520.3516377649357
2025-06,138.9,62000.0,58269.13846892248,5167.0,4856.074814014878,31.794871794871796,29.881609471242296,6.402808809447835,-3730.8615310775203
2025-07,139.0,62000.0,58227.21822541966,5167.0,4852.58123501199,31.794871794871796,29.86011191047162,6.479412703479093,-3772.7817745803404
2025-08,139.3,62000.0,58101.81861689399,5167.0,4842.130593443407,31.794871794871796,29.795804418919992,6.709224385572954,-3898.1813831060135
2025-09,139.3,62000.0,58101.81861689399,5167.0,4842.130593443407,31.794871794871796,29.795804418919992,6.709224385572954,-3898.1813831060135
2025-10,139.8,62000.0,57894.01525989508,5167.0,4824.8125298044815,31.794871794871796,29.68923859481799,7.092243855729352,-4105.984740104919
2025-11,139.5,62000.0,58018.51851851852,5167.0,4835.188470728793,31.794871794871796,29.753086419753085,6.862432173635491,-3981.4814814814818
2025-12,140.1,62000.0,57770.04520580538,5167.0,4814.481025458006,31.794871794871796,29.625664208105324,7.322055537823169,-4229.954794194622
2026-01,139.5,62000.0,58018.51851851852,5167.0,4835.188470728793,31.794871794871796,29.753086419753085,6.862432173635491,-3981.4814814814818
2026-02,140.1,62000.0,57770.04520580538,5167.0,4814.481025458006,31.794871794871796,29.625664208105324,7.322055537823169,-4229.954794194622
2026-03,141.0,62000.0,57401.30023640662,5167.0,4783.750295508274,31.794871794871796,29.436564223798268,8.011490584104708,-4598.69976359338
2026-04,142.1,62000.0,56956.95519587145,5167.0,4746.719153178513,31.794871794871796,29.20869497224177,8.854133418448784,-5043.044804128549
